"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer_Name","Manufacturer_Part_Number","Mouser_Part_Number","URL"
"A1","1","Arduino_Nano_Every_Socket","","","","PCM_arduino-library:Arduino_Nano_Every_Socket","https://docs.arduino.cc/hardware/nano-every","","","",""
"C1,C3","2","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","Panasonic ","ECA-1EM100","667-ECA-1EM100","https://www.mouser.fr/ProductDetail/Panasonic/ECA-1EM100?qs=hJWeRtKz5Uonv6hg9%2FSPqg%3D%3D"
"C2,C4","2","1nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","Vishay / BC Components ","K102J15C0GF53H5G","594-K102J15C0GF53H5G","https://www.mouser.fr/ProductDetail/Vishay-BC-Components/K102J15C0GF53H5G?qs=DPoM0jnrROVTxjmlWxnrvw%3D%3D"
"C5","1","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","Vishay / Sprague","1C10X7R104K100B","75-1C10X7R104K100B","https://www.mouser.fr/ProductDetail/Vishay-Sprague/1C10X7R104K100B?qs=TEJGIkpLa1d7pKhRqRNGnw%3D%3D"
"C6","1","1uF","","","","Capacitor_THT:C_Rect_L7.2mm_W6.0mm_P5.00mm","","KEMET"," R82EC4100SH70J","80-R82EC4100SH70J","https://www.mouser.fr/ProductDetail/KEMET/R82EC4100SH70J?qs=Jv4FAWB%252B0HbLt%2FOD3CL%252BuQ%3D%3D"
"C7","1","100nF","","","","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","KEMET","82IC3100Z360J","80-R82IC3100Z360J","https://www.mouser.fr/ProductDetail/KEMET/R82IC3100Z360J?qs=Jv4FAWB%252B0HaIk7ehqReE7g%3D%3D"
"J1","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","","Phoenix Contact ","1711725","651-1711725","https://www.mouser.fr/ProductDetail/Phoenix-Contact/1711725?qs=F79NelsxgYFLEb9U5DotcA%3D%3D"
"J2","1","Screw_Terminal_01x10","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-10-3.81_1x10_P3.81mm_Horizontal","","Phoenix Contact","1727094"," 651-1727094","https://www.mouser.fr/ProductDetail/Phoenix-Contact/1727094?qs=JcjeNNoqGSM0mnK2PrFItQ%3D%3D"
"Q1,Q2,Q3,Q4,Q5,Q6","6","2N2222A","","","","Package_TO_SOT_THT:TO-92L_Inline_Wide","","Diotec Semiconductor","2N2222A","637-2N2222A","https://www.mouser.fr/ProductDetail/Diotec-Semiconductor/2N2222A?qs=OlC7AqGiEDmNlRSTGL2dYg%3D%3D"
"R1,R2,R3,R4,R5,R6,R7,R8","8","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""," YAGEO","MFR-25FBF52-1K","603-MFR-25FBF52-1K","https://www.mouser.fr/ProductDetail/YAGEO/MFR-25FBF52-1K?qs=oAGoVhmvjhwCAC47ReWjsQ%3D%3D"
"RV1,RV2,RV3,RV4","4","100k Lin","","","","OpenFlex_FootPrint_Lib:PTN091V100115K1B","","Same Sky","PTN091V100115K1B","179-PTN091V100115K1B","https://www.mouser.fr/ProductDetail/Same-Sky/PTN091-V100115K1B?qs=IKkN%2F947nfB%2Fg3blJT49Dw%3D%3D"
"U1","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","onsemi "," MC7805BTG"," 863-MC7805BTG","https://www.mouser.fr/ProductDetail/onsemi/MC7805BTG?qs=sGAEpiMZZMuLLNXTG1MZak6HpgO6pjZJt0VZY86cBIE%3D"
