"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_Every_Socket","","","","PCM_arduino-library:Arduino_Nano_Every_Socket","https://docs.arduino.cc/hardware/nano-every"
"C1,C3","2","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C2,C4","2","1nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C5","1","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C6","1","1uF","","","","Capacitor_THT:C_Rect_L7.2mm_W6.0mm_P5.00mm",""
"C7","1","100nF","","","","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"J1","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J2","1","Screw_Terminal_01x10","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-10-3.81_1x10_P3.81mm_Horizontal",""
"Q1,Q2,Q3,Q4,Q5,Q6","6","2N2222A","","","","Package_TO_SOT_THT:TO-92L_Inline_Wide",""
"R1,R2,R3,R4,R5,R6,R7,R8","8","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"RV1,RV2,RV3,RV4","4","100k Lin","","","","OpenFlex_FootPrint_Lib:PTN091V100115K1B",""
"U1","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
